Lcl Date,Lcl Time,UTCOfst,AtvWpt,Latitude,Longitude,AltB,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,FQtyL,FQtyR,E1 FFlow,E1 FPres,E1 OilT,E1 OilP,E1 MAP,E1 RPM,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas
2025-01-28,16:48:34,,,34.972229,-117.984634,,29.92,17850,,,425,,,,,,,286,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:48:36,,,34.973484,-117.989388,,29.92,17750,,,423,,,,,,,288,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:48:38,,,34.975117,-117.994652,,29.92,17600,,,420,,,,,,,292,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:48:40,,,34.976604,-117.998886,,29.92,17475,,,419,,,,,,,293,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:48:42,,,34.978233,-118.003006,,29.92,17325,,,415,,,,,,,297,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:48:44,,,34.98056,-118.008156,,29.92,17100,,,414,,,,,,,299,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:48:47,,,34.982849,-118.012505,,29.92,16900,,,412,,,,,,,305,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:48:49,,,34.985596,-118.017044,,29.92,16650,,,411,,,,,,,307,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:48:51,,,34.98848,-118.021187,,29.92,16375,,,409,,,,,,,311,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:48:53,,,34.991314,-118.024811,,29.92,16100,,,408,,,,,,,315,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:48:55,,,34.993835,-118.027634,,29.92,15900,,,408,,,,,,,318,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:48:58,,,34.997314,-118.030998,,29.92,15600,,,407,,,,,,,322,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:00,,,35.000565,-118.033745,,29.92,15325,,,405,,,,,,,326,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:02,,,35.004456,-118.036552,,29.92,15050,,,404,,,,,,,331,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:04,,,35.008121,-118.038712,,29.92,14800,,,403,,,,,,,334,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:06,,,35.011333,-118.040314,,29.92,14550,,,402,,,,,,,339,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:09,,,35.015991,-118.042213,,29.92,14225,,,401,,,,,,,342,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:11,,,35.019295,-118.043175,,29.92,14000,,,400,,,,,,,348,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:13,,,35.022877,-118.043976,,29.92,13750,,,400,,,,,,,350,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:15,,,35.027348,-118.044548,,29.92,13425,,,400,,,,,,,356,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:17,,,35.032097,-118.044548,,29.92,13125,,,401,,,,,,,1,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:20,,,35.035725,-118.044205,,29.92,12875,,,400,,,,,,,6,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:22,,,35.03931,-118.043579,,29.92,12650,,,399,,,,,,,9,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:24,,,35.042942,-118.042542,,29.92,12450,,,399,,,,,,,15,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:26,,,35.046753,-118.041092,,29.92,12200,,,397,,,,,,,19,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:28,,,35.050186,-118.039352,,29.92,12000,,,398,,,,,,,24,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:30,,,35.054348,-118.036713,,29.92,11750,,,397,,,,,,,30,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:33,,,35.057281,-118.034416,,29.92,11575,,,395,,,,,,,35,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:35,,,35.060959,-118.031097,,29.92,11375,,,395,,,,,,,39,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:37,,,35.063553,-118.028313,,29.92,11275,,,392,,,,,,,43,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:39,,,35.066574,-118.024612,,29.92,11100,,,391,,,,,,,46,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:41,,,35.069057,-118.020973,,29.92,10975,,,389,,,,,,,51,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:43,,,35.07106,-118.017662,,29.92,10875,,,388,,,,,,,54,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:45,,,35.073063,-118.013824,,29.92,10775,,,384,,,,,,,59,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:48,,,35.075317,-118.008636,,29.92,10625,,,382,,,,,,,63,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:50,,,35.076736,-118.004654,,29.92,10550,,,380,,,,,,,67,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:52,,,35.077881,-118.000565,,29.92,10450,,,378,,,,,,,71,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:54,,,35.078796,-117.996529,,29.92,10325,,,378,,,,,,,76,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:56,,,35.079529,-117.992325,,29.92,10225,,,377,,,,,,,79,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:49:58,,,35.080078,-117.986496,,29.92,10075,,,376,,,,,,,84,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:00,,,35.080215,-117.983246,,29.92,9975,,,376,,,,,,,90,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:03,,,35.080044,-117.977371,,29.92,9850,,,374,,,,,,,93,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:05,,,35.07972,-117.973541,,29.92,9725,,,374,,,,,,,97,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:07,,,35.078789,-117.967415,,29.92,9550,,,375,,,,,,,101,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:10,,,35.077904,-117.963409,,29.92,9450,,,374,,,,,,,106,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:12,,,35.076366,-117.957916,,29.92,9275,,,373,,,,,,,110,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:15,,,35.07497,-117.954025,,29.92,9125,,,374,,,,,,,114,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:17,,,35.072937,-117.949219,,29.92,8975,,,373,,,,,,,118,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:19,,,35.070919,-117.945328,,29.92,8850,,,373,,,,,,,122,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:21,,,35.068871,-117.941956,,29.92,8725,,,372,,,,,,,126,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:23,,,35.066803,-117.938904,,29.92,8625,,,373,,,,,,,130,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:25,,,35.064468,-117.935936,,29.92,8500,,,373,,,,,,,135,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:27,,,35.061264,-117.932404,,29.92,8350,,,373,,,,,,,139,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:30,,,35.058517,-117.929825,,29.92,8250,,,370,,,,,,,143,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:32,,,35.055267,-117.927078,,29.92,8100,,,370,,,,,,,146,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:34,,,35.052292,-117.924889,,29.92,8000,,,369,,,,,,,149,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:36,,,35.048767,-117.922592,,29.92,7850,,,370,,,,,,,153,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:38,,,35.04583,-117.920952,,29.92,7750,,,368,,,,,,,156,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:40,,,35.041763,-117.918953,,29.92,7600,,,367,,,,,,,158,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:42,,,35.038559,-117.917549,,29.92,7475,,,362,,,,,,,161,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:44,,,35.035309,-117.916313,,29.92,7350,,,359,,,,,,,163,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:47,,,35.031864,-117.915176,,29.92,7200,,,356,,,,,,,165,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:49,,,35.028652,-117.914261,,29.92,7100,,,351,,,,,,,167,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:51,,,35.024834,-117.913345,,29.92,6975,,,346,,,,,,,169,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:53,,,35.022079,-117.912842,,29.92,6900,,,339,,,,,,,173,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:55,,,35.018188,-117.912338,,29.92,6800,,,336,,,,,,,175,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:50:57,,,35.015808,-117.91217,,29.92,6750,,,331,,,,,,,177,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:00,,,35.012283,-117.912109,,29.92,6675,,,324,,,,,,,181,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:02,,,35.008072,-117.912277,,29.92,6575,,,319,,,,,,,183,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:04,,,35.005421,-117.912598,,29.92,6550,,,312,,,,,,,186,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:06,,,35.002396,-117.913231,,29.92,6475,,,305,,,,,,,190,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-28,16:51:08,,,34.999836,-117.91391,,29.92,6425,,,299,,,,,,,194,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
